Candidate,ATS Score,Matched Skills,Rank,Status
resume_26.docx,82.76,5,1,Selected
resume_13.docx,82.62,5,2,Selected
resume_25.docx,82.01,5,3,Selected
resume_3.docx,81.83,5,4,Selected
resume_12.docx,81.57,5,5,Selected
resume_5.docx,67.74,4,6,Selected
resume_22.docx,67.6,4,7,Selected
resume_6.docx,66.66,4,8,Selected
resume_17.docx,66.3,4,9,Selected
resume_11.docx,65.98,4,10,Selected
resume_14.docx,48.99,3,11,Rejected
resume_16.docx,47.4,3,12,Rejected
resume_19.docx,47.2,3,13,Rejected
resume_27.docx,33.86,2,14,Rejected
resume_29.docx,33.53,2,15,Rejected
resume_7.docx,32.99,2,16,Rejected
resume_24.docx,32.94,2,17,Rejected
resume_30.docx,32.82,2,18,Rejected
resume_9.docx,32.26,2,19,Rejected
resume_28.docx,32.24,2,20,Rejected
resume_21.docx,32.22,2,21,Rejected
resume_18.docx,32.06,2,22,Rejected
resume_20.docx,31.96,2,23,Rejected
resume_15.docx,31.84,2,24,Rejected
resume_8.docx,31.25,2,25,Rejected
resume_1.docx,30.83,2,26,Rejected
resume_2.docx,18.87,1,27,Rejected
resume_10.docx,17.24,1,28,Rejected
resume_4.docx,1.83,0,29,Rejected
resume_23.docx,1.26,0,30,Rejected
